UNITID,MajorFieldsID,MajorFieldsDesc,GrandTotal,TotalMen,TotalWomen,AmericanIndianAlaskaNativeTotal,AmericanIndianAlaskaNativeMen,AmericanIndianAlaskaNativeWomen,AsianTotal,AsianMen,AsianWomen,AfricanAmericanTotal,AfricanAmericanMen,AfricanAmericanWomen,HispanicTotal,HispanicMen,HispanicWomen,PacificIslanderTotal,PacificIslanderMen,PacificIslanderWomen,WhiteTotal,WhiteMen,WhiteWomen,TwoOrMoreRacesTotal,TwoOrMoreRacesMen,TwoOrMoreRacesWomen,RaceUnknownTotal,RaceUnknownMen,RaceUnknownWomen,NonresidentAlienTotal,NonresidentAlienMen,NonresidentAlienWomen
154749,52,Business Management and Administrative Services,64,52,12,0,0,0,1,0,1,20,19,1,6,4,2,0,0,0,34,27,7,0,0,0,3,2,1,0,0,0
154776,52,Business Management and Administrative Services,40,24,16,0,0,0,0,0,0,17,13,4,5,1,4,0,0,0,18,10,8,0,0,0,0,0,0,0,0,0
154855,13,Education,32,8,24,0,0,0,1,0,1,0,0,0,4,1,3,0,0,0,27,7,20,0,0,0,0,0,0,0,0,0
154855,26,Biological Sciences/LifeSciences,10,4,6,1,0,1,0,0,0,2,2,0,3,2,1,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0
154855,27,Mathematics,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154855,52,Business Management and Administrative Services,246,129,117,3,1,2,2,0,2,94,51,43,23,16,7,1,0,1,102,52,50,3,3,0,17,5,12,1,1,0
155007,13,Education,5,0,5,0,0,0,0,0,0,2,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155007,52,Business Management and Administrative Services,18,5,13,0,0,0,1,1,0,8,1,7,5,1,4,0,0,0,3,2,1,1,0,1,0,0,0,0,0,0
155025,13,Education,1006,233,773,5,1,4,4,0,4,25,3,22,53,15,38,0,0,0,819,190,629,75,18,57,12,3,9,13,3,10
155025,26,Biological Sciences/LifeSciences,237,96,141,0,0,0,3,1,2,7,2,5,24,8,16,0,0,0,166,64,102,22,13,9,2,1,1,13,7,6
155025,27,Mathematics,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,1,1,0,0,0,0,6,5,1
155025,40,Physical Sciences,95,70,25,0,0,0,1,1,0,3,3,0,13,11,2,1,1,0,62,45,17,4,3,1,1,1,0,10,5,5
155025,52,Business Management and Administrative Services,596,332,264,2,2,0,9,4,5,35,28,7,31,17,14,0,0,0,371,192,179,35,18,17,9,6,3,104,65,39
155061,13,Education,1557,492,1065,12,7,5,10,3,7,64,44,20,155,52,103,3,0,3,1253,365,888,45,17,28,6,1,5,9,3,6
155061,14,Engineering,34,28,6,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,30,25,5,1,0,1,1,1,0,0,0,0
155061,26,Biological Sciences/LifeSciences,310,141,169,1,1,0,1,0,1,5,1,4,30,16,14,1,1,0,255,113,142,11,5,6,3,2,1,3,2,1
155061,27,Mathematics,32,19,13,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,29,18,11,0,0,0,0,0,0,0,0,0
155061,40,Physical Sciences,230,156,74,0,0,0,1,1,0,4,2,2,22,14,8,0,0,0,186,126,60,11,8,3,2,2,0,4,3,1
155061,52,Business Management and Administrative Services,3985,1765,2220,5,1,4,15,7,8,67,35,32,148,74,74,0,0,0,1029,443,586,44,19,25,3,1,2,2674,1185,1489
155070,13,Education,17,2,15,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,1,0,1
155070,52,Business Management and Administrative Services,86,54,32,1,0,1,0,0,0,20,18,2,7,6,1,0,0,0,54,28,26,3,1,2,0,0,0,1,1,0
155089,13,Education,164,91,73,6,4,2,0,0,0,18,12,6,10,7,3,1,1,0,100,51,49,19,10,9,10,6,4,0,0,0
155089,26,Biological Sciences/LifeSciences,102,28,74,0,0,0,1,0,1,8,2,6,3,2,1,0,0,0,77,20,57,7,3,4,6,1,5,0,0,0
155089,27,Mathematics,10,7,3,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0
155089,40,Physical Sciences,8,5,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0
155089,52,Business Management and Administrative Services,430,193,237,7,4,3,4,2,2,53,22,31,34,8,26,0,0,0,268,123,145,29,19,10,34,14,20,1,1,0
155140,13,Education,18,3,15,18,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155140,52,Business Management and Administrative Services,98,51,47,98,51,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155177,13,Education,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
155308,13,Education,10,3,7,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,2,1,1,0,0,0,5,1,4,0,0,0
155308,52,Business Management and Administrative Services,5,5,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0
155317,13,Education,390,77,313,1,0,1,10,5,5,12,6,6,19,1,18,0,0,0,331,62,269,12,2,10,2,1,1,3,0,3
155317,14,Engineering,2009,1560,449,2,2,0,114,74,40,52,44,8,156,119,37,0,0,0,1404,1103,301,84,60,24,14,11,3,183,147,36
155317,26,Biological Sciences/LifeSciences,1279,567,712,7,3,4,149,67,82,48,14,34,116,52,64,0,0,0,846,381,465,83,40,43,8,2,6,22,8,14
155317,27,Mathematics,200,134,66,3,3,0,16,12,4,6,5,1,6,1,5,0,0,0,126,82,44,7,2,5,1,1,0,35,28,7
155317,40,Physical Sciences,384,244,140,5,4,1,15,8,7,11,8,3,22,13,9,0,0,0,296,191,105,19,10,9,3,2,1,13,8,5
155317,52,Business Management and Administrative Services,1703,1045,658,3,2,1,54,28,26,28,19,9,73,42,31,0,0,0,1382,873,509,73,44,29,7,3,4,83,34,49
155335,13,Education,111,18,93,2,1,1,0,0,0,4,0,4,30,3,27,0,0,0,66,9,57,4,1,3,0,0,0,5,4,1
155335,26,Biological Sciences/LifeSciences,189,86,103,0,0,0,30,15,15,4,0,4,32,9,23,0,0,0,101,51,50,8,4,4,0,0,0,14,7,7
155335,27,Mathematics,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,2,2,0
155335,40,Physical Sciences,12,6,6,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,10,5,5,0,0,0,0,0,0,0,0,0
155335,52,Business Management and Administrative Services,119,71,48,0,0,0,1,0,1,8,6,2,15,9,6,0,0,0,65,37,28,3,3,0,0,0,0,27,16,11
155399,13,Education,1384,354,1030,7,3,4,7,2,5,30,14,16,86,22,64,0,0,0,1195,297,898,34,10,24,12,3,9,13,3,10
155399,14,Engineering,2768,2214,554,9,8,1,49,31,18,60,47,13,154,118,36,0,0,0,2082,1668,414,81,56,25,31,28,3,302,258,44
155399,26,Biological Sciences/LifeSciences,925,354,571,3,2,1,24,6,18,32,11,21,90,45,45,1,0,1,697,257,440,35,11,24,12,7,5,31,15,16
155399,27,Mathematics,88,55,33,0,0,0,2,0,2,1,1,0,5,3,2,0,0,0,63,41,22,4,1,3,1,0,1,12,9,3
155399,40,Physical Sciences,248,157,91,0,0,0,4,2,2,3,2,1,19,12,7,0,0,0,191,120,71,10,5,5,2,2,0,19,14,5
155399,52,Business Management and Administrative Services,1662,948,714,3,2,1,23,10,13,48,23,25,103,60,43,1,0,1,1292,743,549,44,24,20,20,13,7,128,73,55
155414,13,Education,97,30,67,0,0,0,0,0,0,5,2,3,11,6,5,0,0,0,77,21,56,2,0,2,1,1,0,1,0,1
155414,14,Engineering,16,12,4,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,9,6,3,0,0,0,1,1,0,3,2,1
155414,26,Biological Sciences/LifeSciences,20,8,12,0,0,0,0,0,0,2,1,1,3,0,3,0,0,0,14,6,8,1,1,0,0,0,0,0,0,0
155414,27,Mathematics,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1,1,0
155414,40,Physical Sciences,38,11,27,0,0,0,1,1,0,3,1,2,8,3,5,0,0,0,26,6,20,0,0,0,0,0,0,0,0,0
155414,52,Business Management and Administrative Services,165,99,66,0,0,0,2,2,0,14,14,0,18,14,4,0,0,0,117,59,58,7,6,1,1,0,1,6,4,2
155496,52,Business Management and Administrative Services,28,18,10,0,0,0,0,0,0,4,3,1,2,1,1,0,0,0,14,7,7,1,1,0,6,5,1,1,1,0
155511,13,Education,22,2,20,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,16,2,14,0,0,0,0,0,0,0,0,0
155511,26,Biological Sciences/LifeSciences,68,37,31,0,0,0,1,1,0,11,7,4,10,7,3,0,0,0,42,20,22,0,0,0,0,0,0,4,2,2
155511,27,Mathematics,9,7,2,0,0,0,2,2,0,0,0,0,3,2,1,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0
155511,40,Physical Sciences,6,4,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0
155511,52,Business Management and Administrative Services,134,100,34,0,0,0,1,1,0,15,12,3,18,16,2,0,0,0,84,58,26,3,2,1,7,7,0,6,4,2
155520,13,Education,108,41,67,1,1,0,1,1,0,7,4,3,2,0,2,1,1,0,78,27,51,2,1,1,16,6,10,0,0,0
155520,26,Biological Sciences/LifeSciences,33,11,22,2,1,1,0,0,0,4,1,3,0,0,0,1,0,1,18,7,11,1,0,1,7,2,5,0,0,0
155520,27,Mathematics,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0
155520,40,Physical Sciences,12,7,5,1,0,1,0,0,0,3,1,2,1,1,0,0,0,0,5,4,1,1,0,1,1,1,0,0,0,0
155520,52,Business Management and Administrative Services,243,130,113,0,0,0,1,1,0,41,26,15,6,3,3,1,1,0,158,79,79,6,4,2,30,16,14,0,0,0
155627,13,Education,67,37,30,3,1,2,0,0,0,7,6,1,0,0,0,0,0,0,46,26,20,2,0,2,9,4,5,0,0,0
155627,14,Engineering,32,27,5,1,1,0,0,0,0,3,2,1,0,0,0,1,0,1,24,22,2,1,0,1,2,2,0,0,0,0
155627,26,Biological Sciences/LifeSciences,62,26,36,6,2,4,1,1,0,3,1,2,0,0,0,1,1,0,40,17,23,2,0,2,9,4,5,0,0,0
155627,27,Mathematics,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
155627,52,Business Management and Administrative Services,157,120,37,4,4,0,0,0,0,14,11,3,0,0,0,0,0,0,121,88,33,9,9,0,9,8,1,0,0,0
155636,13,Education,38,6,32,0,0,0,1,1,0,4,2,2,0,0,0,0,0,0,29,2,27,3,0,3,1,1,0,0,0,0
155636,27,Mathematics,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,1,1,0,0,0,0,0,0,0
155636,52,Business Management and Administrative Services,161,65,96,3,0,3,8,2,6,16,6,10,0,0,0,0,0,0,121,51,70,4,1,3,9,5,4,0,0,0
155681,13,Education,716,239,477,13,3,10,2,0,2,13,7,6,35,10,25,0,0,0,597,193,404,52,22,30,0,0,0,4,4,0
155681,26,Biological Sciences/LifeSciences,344,140,204,7,4,3,4,2,2,12,5,7,16,4,12,0,0,0,275,110,165,23,11,12,1,0,1,6,4,2
155681,27,Mathematics,28,15,13,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,20,13,7,3,1,2,0,0,0,3,0,3
155681,40,Physical Sciences,102,54,48,3,2,1,2,2,0,6,3,3,10,4,6,0,0,0,73,37,36,3,2,1,1,1,0,4,3,1
155681,52,Business Management and Administrative Services,1074,753,321,9,4,5,7,4,3,50,34,16,51,35,16,0,0,0,839,600,239,61,41,20,1,0,1,56,35,21
155812,13,Education,27,7,20,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,19,4,15,2,1,1,1,1,0,1,0,1
155812,26,Biological Sciences/LifeSciences,58,27,31,2,1,1,0,0,0,3,2,1,19,9,10,0,0,0,32,13,19,2,2,0,0,0,0,0,0,0
155812,27,Mathematics,11,7,4,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0
155812,40,Physical Sciences,4,3,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
155812,52,Business Management and Administrative Services,44,23,21,0,0,0,0,0,0,8,3,5,7,2,5,0,0,0,24,15,9,2,0,2,0,0,0,3,3,0
155900,13,Education,108,23,85,2,0,2,1,0,1,7,4,3,6,2,4,0,0,0,65,13,52,2,0,2,23,3,20,2,1,1
155900,26,Biological Sciences/LifeSciences,87,40,47,5,2,3,1,1,0,12,8,4,9,4,5,0,0,0,52,20,32,5,3,2,1,1,0,2,1,1
155900,27,Mathematics,17,11,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,11,5,6,0,0,0,0,0,0,3,3,0
155900,40,Physical Sciences,8,1,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,4,1,0,1,1,0,1,1,0,1
155900,52,Business Management and Administrative Services,417,295,122,5,3,2,5,4,1,45,33,12,30,18,12,1,1,0,178,130,48,14,8,6,129,92,37,10,6,4
155937,13,Education,100,38,62,1,0,1,0,0,0,3,1,2,12,3,9,0,0,0,84,34,50,0,0,0,0,0,0,0,0,0
155937,26,Biological Sciences/LifeSciences,36,13,23,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,31,13,18,0,0,0,0,0,0,0,0,0
155937,27,Mathematics,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0
155937,40,Physical Sciences,5,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0
155937,52,Business Management and Administrative Services,95,75,20,2,2,0,1,1,0,23,22,1,14,11,3,0,0,0,55,39,16,0,0,0,0,0,0,0,0,0
155973,13,Education,56,11,45,0,0,0,0,0,0,0,0,0,6,1,5,0,0,0,45,8,37,3,1,2,2,1,1,0,0,0
155973,26,Biological Sciences/LifeSciences,25,14,11,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,15,9,6,7,3,4,0,0,0,0,0,0
155973,27,Mathematics,13,6,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,5,4,0,0,0,3,1,2,0,0,0
155973,40,Physical Sciences,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
155973,52,Business Management and Administrative Services,96,71,25,1,1,0,1,1,0,9,9,0,10,8,2,0,0,0,63,43,20,3,2,1,3,1,2,6,6,0
156082,13,Education,300,104,196,1,0,1,1,0,1,14,5,9,29,11,18,0,0,0,207,70,137,9,3,6,38,15,23,1,0,1
156082,26,Biological Sciences/LifeSciences,158,59,99,2,1,1,4,1,3,2,0,2,12,5,7,0,0,0,109,42,67,6,2,4,23,8,15,0,0,0
156082,27,Mathematics,28,19,9,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,22,15,7,0,0,0,2,1,1,1,0,1
156082,40,Physical Sciences,56,37,19,0,0,0,1,0,1,1,0,1,3,3,0,0,0,0,43,31,12,2,1,1,3,2,1,3,0,3
156082,52,Business Management and Administrative Services,545,326,219,3,1,2,6,3,3,23,15,8,45,20,25,0,0,0,327,206,121,22,13,9,68,40,28,51,28,23
156125,13,Education,753,190,563,5,1,4,14,6,8,31,4,27,73,14,59,0,0,0,595,153,442,22,6,16,11,6,5,2,0,2
156125,14,Engineering,2084,1727,357,15,11,4,219,158,61,65,51,14,189,158,31,2,0,2,1011,852,159,68,55,13,54,49,5,461,393,68
156125,26,Biological Sciences/LifeSciences,357,135,222,1,0,1,67,25,42,12,4,8,34,9,25,0,0,0,199,75,124,18,11,7,10,6,4,16,5,11
156125,27,Mathematics,51,37,14,0,0,0,4,3,1,1,1,0,3,3,0,0,0,0,38,27,11,1,1,0,1,1,0,3,1,2
156125,40,Physical Sciences,291,181,110,1,1,0,42,23,19,11,6,5,40,24,16,0,0,0,158,99,59,15,9,6,9,7,2,15,12,3
156125,52,Business Management and Administrative Services,2064,1186,878,11,6,5,152,67,85,105,54,51,232,132,100,1,0,1,1285,757,528,77,42,35,46,29,17,155,99,56
156189,13,Education,108,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,50,58,0,0,0,0,0,0,0,0,0
156189,26,Biological Sciences/LifeSciences,182,61,121,0,0,0,0,0,0,1,0,1,4,2,2,1,0,1,174,58,116,0,0,0,2,1,1,0,0,0
156189,52,Business Management and Administrative Services,64,42,22,1,1,0,0,0,0,2,1,1,2,2,0,0,0,0,54,35,19,1,1,0,3,1,2,1,1,0
156213,13,Education,207,28,179,1,0,1,5,2,3,4,0,4,3,1,2,0,0,0,182,24,158,1,0,1,7,1,6,4,0,4
156213,14,Engineering,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,2,2,0,1,1,0
156213,26,Biological Sciences/LifeSciences,54,17,37,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,44,13,31,1,0,1,1,1,0,5,3,2
156213,27,Mathematics,25,12,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22,9,13,0,0,0,0,0,0,2,2,0
156213,40,Physical Sciences,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
156213,52,Business Management and Administrative Services,37,18,19,0,0,0,1,1,0,2,0,2,1,0,1,0,0,0,28,14,14,1,1,0,4,2,2,0,0,0
156286,13,Education,147,22,125,0,0,0,2,0,2,2,0,2,6,1,5,0,0,0,123,20,103,6,0,6,8,1,7,0,0,0
156286,14,Engineering,21,15,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,20,14,6,0,0,0,0,0,0,0,0,0
156286,26,Biological Sciences/LifeSciences,249,79,170,0,0,0,8,3,5,9,2,7,9,3,6,0,0,0,203,63,140,6,2,4,13,6,7,1,0,1
156286,27,Mathematics,12,5,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11,5,6,0,0,0,0,0,0,0,0,0
156286,40,Physical Sciences,49,30,19,0,0,0,1,0,1,2,0,2,1,1,0,0,0,0,42,26,16,1,1,0,1,1,0,1,1,0
156286,52,Business Management and Administrative Services,353,243,110,0,0,0,8,3,5,9,8,1,8,5,3,0,0,0,306,214,92,7,4,3,10,5,5,5,4,1
156295,13,Education,84,18,66,0,0,0,2,2,0,8,2,6,6,1,5,1,0,1,62,12,50,4,1,3,0,0,0,1,0,1
156295,26,Biological Sciences/LifeSciences,151,60,91,0,0,0,8,4,4,18,2,16,22,11,11,0,0,0,85,35,50,8,3,5,1,1,0,9,4,5
156295,27,Mathematics,73,57,16,0,0,0,0,0,0,2,2,0,7,5,2,0,0,0,46,35,11,2,1,1,0,0,0,16,14,2
156295,40,Physical Sciences,99,55,44,0,0,0,1,0,1,15,5,10,17,14,3,0,0,0,41,22,19,7,3,4,1,1,0,17,10,7
156295,52,Business Management and Administrative Services,123,62,61,0,0,0,2,0,2,23,7,16,16,10,6,0,0,0,55,33,22,7,2,5,2,1,1,18,9,9
156356,13,Education,37,5,32,0,0,0,0,0,0,3,1,2,1,0,1,1,1,0,27,2,25,0,0,0,4,0,4,1,1,0
156356,14,Engineering,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
156356,26,Biological Sciences/LifeSciences,39,17,22,1,1,0,1,0,1,3,1,2,2,2,0,0,0,0,30,13,17,0,0,0,2,0,2,0,0,0
156356,27,Mathematics,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
156356,40,Physical Sciences,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1
156356,52,Business Management and Administrative Services,74,41,33,0,0,0,1,0,1,6,3,3,2,2,0,0,0,0,55,29,26,0,0,0,6,3,3,4,4,0
156365,13,Education,306,60,246,2,0,2,1,0,1,25,7,18,3,1,2,0,0,0,262,48,214,5,0,5,4,1,3,4,3,1
156365,26,Biological Sciences/LifeSciences,111,48,63,0,0,0,1,1,0,10,7,3,2,1,1,0,0,0,84,32,52,2,2,0,0,0,0,12,5,7
156365,27,Mathematics,45,30,15,0,0,0,0,0,0,3,3,0,2,2,0,0,0,0,33,19,14,1,1,0,0,0,0,6,5,1
156365,40,Physical Sciences,19,10,9,0,0,0,1,0,1,2,1,1,1,1,0,0,0,0,15,8,7,0,0,0,0,0,0,0,0,0
156365,52,Business Management and Administrative Services,384,233,151,0,0,0,1,1,0,49,34,15,10,6,4,0,0,0,232,126,106,5,3,2,2,1,1,85,62,23
156408,26,Biological Sciences/LifeSciences,69,31,38,0,0,0,1,0,1,3,2,1,2,1,1,1,0,1,59,27,32,0,0,0,1,1,0,2,0,2
156408,27,Mathematics,46,19,27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,32,16,16,0,0,0,0,0,0,13,3,10
156408,40,Physical Sciences,36,25,11,0,0,0,5,3,2,1,0,1,0,0,0,0,0,0,25,20,5,2,1,1,0,0,0,3,1,2
156541,13,Education,304,85,219,0,0,0,1,0,1,6,4,2,3,0,3,0,0,0,261,73,188,4,1,3,27,5,22,2,2,0
156541,14,Engineering,10,9,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,7,7,0,0,0,0,0,0,0,1,1,0
156541,26,Biological Sciences/LifeSciences,251,94,157,0,0,0,1,0,1,6,4,2,8,3,5,1,0,1,209,78,131,5,0,5,17,9,8,4,0,4
156541,27,Mathematics,32,20,12,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,26,14,12,0,0,0,2,2,0,2,2,0
156541,40,Physical Sciences,48,27,21,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,37,21,16,2,1,1,1,0,1,6,3,3
156541,52,Business Management and Administrative Services,347,225,122,5,3,2,1,0,1,21,19,2,6,5,1,0,0,0,250,155,95,2,1,1,29,16,13,33,26,7
156620,13,Education,1200,309,891,5,1,4,6,2,4,36,18,18,32,7,25,1,1,0,1090,264,826,16,8,8,11,6,5,3,2,1
156620,14,Engineering,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,1,0,0,0,0,0,0,0
156620,26,Biological Sciences/LifeSciences,394,147,247,1,0,1,4,0,4,11,3,8,12,4,8,1,0,1,343,132,211,16,5,11,4,2,2,2,1,1
156620,27,Mathematics,65,39,26,0,0,0,1,0,1,3,2,1,3,2,1,0,0,0,52,32,20,2,0,2,2,1,1,2,2,0
156620,40,Physical Sciences,273,159,114,0,0,0,5,2,3,10,4,6,5,5,0,0,0,0,242,142,100,5,3,2,3,2,1,3,1,2
156620,52,Business Management and Administrative Services,1295,845,450,1,1,0,13,5,8,65,41,24,26,18,8,0,0,0,1110,726,384,25,16,9,18,13,5,37,25,12
156745,13,Education,41,2,39,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,39,1,38,0,0,0,1,1,0,0,0,0
156745,26,Biological Sciences/LifeSciences,64,24,40,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,58,20,38,1,1,0,2,0,2,1,1,0
156745,27,Mathematics,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0
156745,40,Physical Sciences,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
156745,52,Business Management and Administrative Services,24,18,6,1,1,0,0,0,0,2,2,0,2,2,0,0,0,0,17,11,6,0,0,0,2,2,0,0,0,0
157021,52,Business Management and Administrative Services,97,34,63,0,0,0,1,1,0,43,17,26,4,2,2,0,0,0,37,10,27,2,1,1,10,3,7,0,0,0
157030,13,Education,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0
157058,13,Education,133,74,59,2,0,2,2,1,1,78,48,30,5,1,4,0,0,0,39,20,19,3,1,2,3,3,0,1,0,1
157058,26,Biological Sciences/LifeSciences,62,15,47,0,0,0,0,0,0,37,8,29,0,0,0,0,0,0,17,5,12,6,1,5,2,1,1,0,0,0
157058,27,Mathematics,32,22,10,0,0,0,1,0,1,19,12,7,0,0,0,0,0,0,11,9,2,0,0,0,1,1,0,0,0,0
157058,40,Physical Sciences,11,5,6,0,0,0,0,0,0,6,1,5,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0
157058,52,Business Management and Administrative Services,136,78,58,0,0,0,2,1,1,90,52,38,3,1,2,0,0,0,32,19,13,6,2,4,2,2,0,1,1,0
157076,13,Education,72,36,36,0,0,0,0,0,0,8,5,3,0,0,0,0,0,0,58,29,29,0,0,0,6,2,4,0,0,0
157076,26,Biological Sciences/LifeSciences,80,23,57,2,0,2,2,0,2,4,2,2,1,0,1,0,0,0,64,16,48,2,2,0,5,3,2,0,0,0
157076,27,Mathematics,9,3,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,2,5,1,0,1,0,0,0,0,0,0
157076,40,Physical Sciences,28,11,17,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,23,10,13,0,0,0,3,0,3,0,0,0
157076,52,Business Management and Administrative Services,102,69,33,0,0,0,1,1,0,17,14,3,0,0,0,0,0,0,78,48,30,0,0,0,6,6,0,0,0,0
157085,13,Education,2006,593,1413,3,1,2,28,10,18,176,59,117,86,34,52,3,0,3,1566,434,1132,82,31,51,53,18,35,9,6,3
157085,14,Engineering,2803,2234,569,3,2,1,86,62,24,104,74,30,96,77,19,2,2,0,2163,1739,424,80,62,18,85,66,19,184,150,34
157085,26,Biological Sciences/LifeSciences,1822,703,1119,4,1,3,127,53,74,137,39,98,94,45,49,0,0,0,1289,498,791,81,34,47,50,15,35,40,18,22
157085,27,Mathematics,182,112,70,0,0,0,7,4,3,13,7,6,7,5,2,0,0,0,125,75,50,7,6,1,8,5,3,15,10,5
157085,40,Physical Sciences,460,256,204,0,0,0,24,14,10,30,10,20,30,16,14,0,0,0,325,182,143,19,8,11,14,13,1,18,13,5
157085,52,Business Management and Administrative Services,3368,2051,1317,4,4,0,78,42,36,169,102,67,116,60,56,3,3,0,2650,1626,1024,92,53,39,99,61,38,157,100,57
157100,13,Education,65,28,37,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,55,24,31,0,0,0,7,2,5,0,0,0
157100,26,Biological Sciences/LifeSciences,32,15,17,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,21,7,14,0,0,0,6,4,2,1,0,1
157100,52,Business Management and Administrative Services,115,92,23,0,0,0,0,0,0,30,30,0,4,4,0,0,0,0,65,45,20,1,1,0,7,6,1,8,6,2
157216,13,Education,187,73,114,0,0,0,2,0,2,11,7,4,1,1,0,0,0,0,125,45,80,3,3,0,45,17,28,0,0,0
157216,14,Engineering,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
157216,26,Biological Sciences/LifeSciences,80,23,57,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,60,19,41,0,0,0,17,2,15,0,0,0
157216,27,Mathematics,20,16,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,14,12,2,0,0,0,5,3,2,0,0,0
