UNITID,MajorFieldsID,MajorFieldsDesc,GrandTotal,TotalMen,TotalWomen,AmericanIndianAlaskaNativeTotal,AmericanIndianAlaskaNativeMen,AmericanIndianAlaskaNativeWomen,AsianTotal,AsianMen,AsianWomen,AfricanAmericanTotal,AfricanAmericanMen,AfricanAmericanWomen,HispanicTotal,HispanicMen,HispanicWomen,PacificIslanderTotal,PacificIslanderMen,PacificIslanderWomen,WhiteTotal,WhiteMen,WhiteWomen,TwoOrMoreRacesTotal,TwoOrMoreRacesMen,TwoOrMoreRacesWomen,RaceUnknownTotal,RaceUnknownMen,RaceUnknownWomen,NonresidentAlienTotal,NonresidentAlienMen,NonresidentAlienWomen
100830,27,Mathematics,96,78,18,0,0,0,2,2,0,20,17,3,2,2,0,0,0,0,63,49,14,5,4,1,3,3,0,1,1,0
100830,40,Physical Sciences,89,23,66,0,0,0,9,1,8,34,4,30,1,1,0,0,0,0,39,14,25,4,2,2,0,0,0,2,1,1
100830,52,Business Management and Administrative Services,714,336,378,5,3,2,18,10,8,238,75,163,8,4,4,0,0,0,360,195,165,15,6,9,6,3,3,64,40,24
100858,13,Education,1127,175,952,9,1,8,12,3,9,46,15,31,21,3,18,0,0,0,1020,152,868,9,0,9,6,1,5,4,0,4
100858,14,Engineering,5123,4168,955,25,20,5,180,137,43,313,221,92,172,134,38,2,2,0,4175,3462,713,71,50,21,37,30,7,148,112,36
100858,26,Biological Sciences/LifeSciences,1497,639,858,9,2,7,50,28,22,147,66,81,34,13,21,0,0,0,1215,519,696,19,5,14,8,2,6,15,4,11
100858,27,Mathematics,140,80,60,1,1,0,2,1,1,11,7,4,5,5,0,0,0,0,109,60,49,0,0,0,1,0,1,11,6,5
100858,40,Physical Sciences,231,132,99,1,0,1,9,5,4,15,7,8,3,2,1,1,1,0,192,112,80,2,2,0,3,1,2,5,2,3
100858,52,Business Management and Administrative Services,4531,2813,1718,25,10,15,98,60,38,230,141,89,152,82,70,1,0,1,3810,2386,1424,43,26,17,22,18,4,150,90,60
100937,13,Education,62,13,49,0,0,0,1,0,1,6,1,5,1,0,1,0,0,0,53,11,42,1,1,0,0,0,0,0,0,0
100937,26,Biological Sciences/LifeSciences,165,73,92,2,1,1,18,7,11,14,5,9,0,0,0,0,0,0,128,59,69,2,0,2,1,1,0,0,0,0
100937,27,Mathematics,52,36,16,1,1,0,6,4,2,8,6,2,0,0,0,0,0,0,37,25,12,0,0,0,0,0,0,0,0,0
100937,40,Physical Sciences,47,26,21,0,0,0,4,1,3,4,2,2,1,1,0,0,0,0,38,22,16,0,0,0,0,0,0,0,0,0
100937,52,Business Management and Administrative Services,179,125,54,1,0,1,6,3,3,19,15,4,6,5,1,0,0,0,146,101,45,1,1,0,0,0,0,0,0,0
101073,13,Education,83,33,50,0,0,0,0,0,0,77,31,46,0,0,0,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0
101073,26,Biological Sciences/LifeSciences,29,6,23,0,0,0,0,0,0,29,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101073,52,Business Management and Administrative Services,66,45,21,0,0,0,0,0,0,59,41,18,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,4,2,2
101116,52,Business Management and Administrative Services,40,15,25,0,0,0,0,0,0,28,10,18,1,1,0,2,0,2,8,3,5,0,0,0,1,1,0,0,0,0
101189,13,Education,150,56,94,0,0,0,0,0,0,31,19,12,3,3,0,1,1,0,109,29,80,4,2,2,0,0,0,2,2,0
101189,26,Biological Sciences/LifeSciences,52,28,24,1,1,0,1,0,1,14,6,8,3,2,1,0,0,0,28,16,12,3,2,1,0,0,0,2,1,1
101189,27,Mathematics,11,6,5,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,8,4,4,0,0,0,0,0,0,1,1,0
101189,52,Business Management and Administrative Services,930,293,637,7,2,5,2,2,0,565,125,440,12,4,8,2,1,1,297,129,168,18,8,10,6,2,4,21,20,1
101365,52,Business Management and Administrative Services,19,5,14,0,0,0,0,0,0,9,2,7,0,0,0,0,0,0,4,1,3,2,2,0,4,0,4,0,0,0
101435,13,Education,141,70,71,0,0,0,0,0,0,25,19,6,3,3,0,0,0,0,103,43,60,4,2,2,6,3,3,0,0,0
101435,26,Biological Sciences/LifeSciences,126,57,69,1,0,1,2,1,1,17,6,11,5,1,4,0,0,0,91,46,45,5,1,4,5,2,3,0,0,0
101435,27,Mathematics,21,19,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,17,17,0,1,1,0,1,0,1,0,0,0
